PMUN;PCAP;PTOT
164;2;166
247;11;258
25;0;25
410;7;417
765;11;776
373;7;380
105;1;106
532;12;544
1342;24;1366
351;10;361
235;7;242
107;2;109
219;2;221
2478;213;2691
1249;18;1267
695;11;706
445;8;453
28;0;28
707;10;717
1030;14;1044
79;3;82
253;3;256
541;24;565
154;1;155
243;4;247
125;1;126
96;0;96
80;1;81
868;12;880
81;4;85
241;3;244
471;10;481
249;6;255
128;1;129
78;1;79
431;10;441
205;2;207
230;9;239
30;0;30
294;6;300
551;12;563
105;2;107
101;6;107
143;3;146
755;12;767
559;9;568
155;1;156
650;3;653
274;9;283
194;11;205
788;9;797
528;7;535
412;6;418
439;14;453
191;6;197
231;3;234
425;5;430
186;5;191
1094;24;1118
1328;32;1360
439;11;450
189;4;193
1550;186;1736
94;0;94
300;4;304
316;6;322
247;1;248
146;1;147
244;3;247
488;11;499
121;0;121
728;11;739
378;6;384
161;3;164
680;12;692
1567;22;1589
1220;43;1263
12734;637;13371
298;3;301
90;3;93
318;5;323
439;10;449
387;13;400
346;3;349
323;14;337
239;1;240
635;2;637
366;4;370
129;5;134
142;1;143
211;5;216
60;1;61
251;1;252
746;11;757
299;6;305
410;7;417
247;2;249
543;11;554
302;7;309
180;6;186
43;0;43
187;3;190
70;4;74
187;2;189
652;17;669
99;1;100
198;6;204
126;6;132
65;1;66
530;6;536
693;13;706
411;6;417
345;12;357
200;47;247
277;9;286
516;12;528
169;1;170
542;6;548
419;9;428
630;16;646
287;3;290
491;13;504
240;3;243
279;7;286
241;7;248
96;2;98
245;2;247
709;14;723
156;2;158
431;8;439
70;0;70
737;11;748
364;6;370
83;1;84
96;0;96
158;0;158
150;3;153
276;1;277
369;3;372
484;11;495
577;5;582
192;7;199
334;8;342
769;18;787
632;13;645
213;11;224
116;1;117
122;1;123
139;3;142
584;7;591
114;1;115
4982;231;5213
1088;29;1117
175;0;175
279;4;283
486;3;489
158;2;160
173;2;175
77;2;79
99;3;102
284;3;287
154;6;160
195;2;197
196;2;198
1133;25;1158
167;1;168
195;7;202
1466;21;1487
2482;59;2541
123;3;126
1049;26;1075
255;5;260
369;2;371
143;1;144
386;8;394
165;8;173
212;5;217
229;7;236
219;7;226
142;3;145
143;1;144
689;13;702
195;3;198
415;9;424
184;1;185
253;2;255
426;9;435
129;1;130
181;2;183
272;5;277
139;4;143
146;5;151
343;5;348
98;1;99
1222;28;1250
566;12;578
193;5;198
161;3;164
215;0;215
72;0;72
104;1;105
169;6;175
201;8;209
197;5;202
284;2;286
166;5;171
209;1;210
126;7;133
155;1;156
777;13;790
257;8;265
55;0;55
385;7;392
632;11;643
405;5;410
215;3;218
226;3;229
154;2;156
587;14;601
1935;57;1992
350;9;359
1738;114;1852
359;8;367
221;7;228
289;3;292
126;2;128
156;3;159
175;6;181
254;2;256
122;0;122
715;18;733
306;9;315
120;1;121
180;0;180
288;5;293
164;2;166
374;5;379
47;1;48
54;0;54
171;1;172
622;7;629
1772;23;1795
296;3;299
385;9;394
196;10;206
500;13;513
588;10;598
268;8;276
1419;49;1468
1297;19;1316
380;9;389
622;20;642
268;4;272
821;20;841
399;10;409
436;7;443
894;20;914
391;8;399
210;5;215
328;11;339
48;0;48
239;7;246
4410;82;4492
360;1;361
1842;42;1884
525;7;532
684;16;700
255;5;260
371;10;381
273;7;280
1350;36;1386
177;3;180
26693;715;27408
432;12;444
161;4;165
544;9;553
670;7;677
144;10;154
246;4;250
120;1;121
322;7;329
341;12;353
213;6;219
127;0;127
10737;341;11078
609;20;629
765;16;781
227;4;231
67;0;67
218;3;221
349;6;355
71;1;72
124;6;130
175;3;178
150;3;153
3670;56;3726
213;5;218
2588;42;2630
1927;60;1987
395;2;397
506;9;515
374;2;376
378;12;390
510;21;531
319;8;327
403;14;417
394;8;402
476;12;488
634;10;644
1529;28;1557
185;4;189
104;4;108
154;1;155
448;7;455
815;19;834
347;7;354
450;13;463
589;11;600
1204;32;1236
439;9;448
405;9;414
789;14;803
354;10;364
2965;90;3055
453;3;456
282;8;290
4378;82;4460
617;7;624
135;1;136
533;23;556
395;6;401
1074;16;1090
104;2;106
61;4;65
72;1;73
91;1;92
68;2;70
2148;31;2179
187;1;188
572;18;590
250;4;254
554;12;566
59;2;61
110;1;111
119;1;120
235;5;240
266;12;278
166;3;169
478;8;486
880;16;896
71;0;71
258;4;262
1276;18;1294
838;13;851
683;12;695
118;6;124
726;77;803
7387;296;7683
2211;48;2259
1563;34;1597
182;1;183
1219;42;1261
725;8;733
95;0;95
1749;30;1779
255;9;264
1090;10;1100
285;5;290
529;19;548
103;2;105
909;22;931
398;11;409
354;10;364
465;11;476
1165;16;1181
792;11;803
399;4;403
392;7;399
563;2;565
129;1;130
408;9;417
159;1;160
1171;40;1211
415;7;422
2564;40;2604
431;13;444
557;8;565
1097;16;1113
138;1;139
316;17;333
36;0;36
644;10;654
770;28;798
317;9;326
1488;53;1541
281;3;284
147;2;149
332;2;334
537;13;550
447;16;463
263;8;271
173;1;174
91;3;94
477;9;486
1600;25;1625
109;1;110
490;4;494
721;14;735
370;7;377
543;11;554
146;4;150
670;5;675
109;4;113
652;16;668
242;4;246
139;1;140
859;20;879
435;3;438
740;10;750
171;2;173
835;10;845
178;3;181
153;3;156
451;8;459
1175;44;1219
674;8;682
158;3;161
2653;96;2749
2770;37;2807
694;12;706
2609;35;2644
1377;21;1398
981;24;1005
496;13;509
1688;38;1726
148;1;149
94;1;95
70;2;72
370;2;372
994;15;1009
1208;24;1232
137;5;142
334;7;341
443;10;453
256;1;257
836;11;847
193;2;195
261;3;264
411;5;416
167;3;170
283;7;290
568;9;577
815;20;835
2280;47;2327
186;1;187
584;9;593
3142;75;3217
233;5;238
1572;31;1603
868;9;877
289;10;299
346;7;353
303;13;316
1850;15;1865
1524;27;1551
178;1;179
660;13;673
628;7;635
492;13;505
468;5;473
335;10;345
804;88;892
404;4;408
290;4;294
83;1;84
63;1;64
459;8;467
193;7;200
145;7;152
137;5;142
410;13;423
496;10;506
125;2;127
285;4;289
1476;21;1497
156;5;161
2753;55;2808
458;7;465
300;4;304
5704;69;5773
1214;20;1234
1139;15;1154
942;13;955
2762;50;2812
369;10;379
384;4;388
308;2;310
231;3;234
974;23;997
237;2;239
126;4;130
265;5;270
797;10;807
3611;67;3678
3055;111;3166
4604;101;4705
53;0;53
109;9;118
789;16;805
254;8;262
312;8;320
474;7;481
974;17;991
893;13;906
29896;1580;31476
183;5;188
570;9;579
206;4;210
187;2;189
127;3;130
1179;20;1199
1325;19;1344
688;27;715
721;23;744
188;5;193
2478;46;2524
529;19;548
147;2;149
426;11;437
148;0;148
4143;80;4223
1043;20;1063
467;15;482
377;9;386
145;0;145
305;1;306
339;10;349
2392;41;2433
310;6;316
3844;148;3992
331;9;340
3022;52;3074
427;4;431
1628;35;1663
301;6;307
122;0;122
319;5;324
445;8;453
1588;26;1614
567;20;587
240;8;248
856;20;876
179;2;181
1860;39;1899
468;3;471
5352;94;5446
341;8;349
353;4;357
148;3;151
1426;19;1445
158;7;165
81;1;82
418;4;422
484;2;486
213;8;221
526;9;535
164;2;166
37;1;38
225;2;227
215;10;225
493;15;508
342;9;351
519;10;529
88;0;88
155;7;162
368;6;374
1548;34;1582
236;7;243
599;7;606
105;4;109
294;4;298
65;0;65
176;5;181
327;9;336
140;2;142
240;7;247
258;4;262
1188;16;1204
497;8;505
162;2;164
914;26;940
269;0;269
287;5;292
251;2;253
172;9;181
471;8;479
946;7;953
864;19;883
243;2;245
197;6;203
116;2;118
310;3;313
133;3;136
364;6;370
166;6;172
601;38;639
236;8;244
637;17;654
144;2;146
1024;18;1042
918;14;932
236;9;245
136;3;139
2031;23;2054
416;11;427
304;7;311
146;5;151
50;3;53
474;9;483
941;7;948
575;4;579
796;18;814
189;2;191
362;6;368
655;7;662
734;10;744
193;8;201
138;1;139
267;7;274
284;9;293
497;6;503
822;17;839
1706;24;1730
547;15;562
325;6;331
236;6;242
326;5;331
305;6;311
258;5;263
625;12;637
986;18;1004
353;6;359
168;1;169
159;3;162
193;5;198
191;0;191
1168;13;1181
304;8;312
519;0;519
277;3;280
140;7;147
885;17;902
420;2;422
404;3;407
1811;15;1826
352;5;357
380;5;385
1115;14;1129
579;9;588
61;1;62
93;2;95
508;4;512
113;3;116
328;4;332
827;22;849
859;21;880
149;7;156
494;8;502
90;0;90
283;1;284
352;3;355
110;2;112
210;5;215
673;12;685
361;12;373
253;3;256
287;10;297
310;3;313
245;2;247
729;4;733
1177;54;1231
72;2;74
280;4;284
435;0;435
8816;409;9225
1027;19;1046
368;11;379
426;13;439
179;5;184
194;2;196
713;9;722
934;16;950
127;2;129
201;2;203
212;3;215
248;3;251
80;4;84
1202;240;1442
254;3;257
297;5;302
249;4;253
1059;11;1070
1590;28;1618
88;0;88
80;3;83
1107;14;1121
386;10;396
99;1;100
38;0;38
6266;106;6372
274;5;279
499;10;509
1257;16;1273
2871;185;3056
250;4;254
1742;37;1779
574;13;587
641;10;651
7006;201;7207
637;5;642
332;10;342
116;7;123
270;11;281
277;7;284
690;106;796
372;8;380
472;4;476
252;3;255
1059;11;1070
127;2;129
42;1;43
1693;14;1707
191;5;196
590;14;604
343;8;351
231;22;253
242;10;252
524;10;534
265;2;267
906;19;925
454;9;463
972;18;990
676;12;688
921;22;943
817;21;838
252;6;258
305;5;310
323;6;329
1059;20;1079
90;1;91
88;2;90
105;3;108
467;4;471
163;3;166
740;16;756
166;5;171
260;3;263
929;11;940
704;21;725
164;4;168
92;3;95
624;23;647
381;11;392
910;9;919
1619;30;1649
1468;39;1507
900;30;930
707;14;721
214;5;219
244;3;247
430;11;441
13341;208;13549
425;10;435
518;10;528
2515;46;2561
2227;31;2258
161;4;165
914;16;930
810;14;824
366;10;376
228;8;236
1951;53;2004
59;0;59
48;1;49
74;2;76
4989;162;5151
3616;75;3691
137;5;142
500;5;505
623;14;637
67;0;67
96;6;102
524;13;537
350;8;358
117912;3232;121144
5441;72;5513
1345;11;1356
270;5;275
698;24;722
116;1;117
301;11;312
1210;26;1236
55;4;59
84;1;85
191;3;194
373;15;388
475;11;486
21;1;22
830;6;836
978;21;999
398;11;409
72;0;72
1064;24;1088
438;11;449
894;23;917
191;1;192
1166;17;1183
388;8;396
210;2;212
179;3;182
88;5;93
94;2;96
67;0;67
471;8;479
70;2;72
76;0;76
116;0;116
278;3;281
143;2;145
478;12;490
181;4;185
225;6;231
472;7;479
571;12;583
48;2;50
636;14;650
85;1;86
588;6;594
69;0;69
192;0;192
309;9;318
326;10;336
1020;19;1039
362;12;374
1312;26;1338
142;3;145
386;6;392
279;3;282
246;6;252
91;0;91
325;10;335
398;10;408
255;16;271
525;7;532
269;7;276
324;5;329
476;8;484
2741;50;2791
111;3;114
11;0;11
110;5;115
138;4;142
2023;56;2079
8;0;8
502;13;515
125;5;130
602;10;612
122;6;128
327;3;330
207;11;218
120;1;121
2021;39;2060
502;5;507
506;11;517
291;3;294
133;5;138
158;0;158
132;1;133
266;8;274
299;13;312
1169;22;1191
1299;28;1327
1220;24;1244
750;27;777
30;5;35
208;6;214
107;1;108
144;2;146
84;6;90
1356;41;1397
105;2;107
232;3;235
148;1;149
244;3;247
89;1;90
315;5;320
150;5;155
124;3;127
60;2;62
115;6;121
146;6;152
92;0;92
74;2;76
281;12;293
62;3;65
1044;24;1068
502;6;508
750;26;776
189;6;195
1598;27;1625
452;10;462
170;4;174
1856;46;1902
112;0;112
1522;290;1812
1392;26;1418
616;5;621
726;21;747
344;12;356
1379;36;1415
737;15;752
314;5;319
189;4;193
3198;95;3293
624;17;641
178;4;182
131;4;135
159;4;163
88;1;89
2633;49;2682
736;22;758
491;10;501
89;0;89
265;10;275
597;10;607
160;7;167
635;14;649
594;15;609
65;0;65
1595;36;1631
327;8;335
835;13;848
188;1;189
218;4;222
281;0;281
3724;64;3788
389;4;393
3237;54;3291
119;2;121
100;2;102
289;8;297
175;7;182
317;3;320
288;3;291
2172;34;2206
157;2;159
177;1;178
3202;151;3353
147;6;153
119;0;119
788;19;807
84;3;87
1251;22;1273
280;10;290
87;3;90
549;112;661
61;2;63
174;8;182
115;0;115
393;4;397
1405;31;1436
349;13;362
906;14;920
268;4;272
2295;39;2334
1926;37;1963
80;1;81
466;24;490
250;2;252
84;2;86
1317;20;1337
116;3;119
682;20;702
115;2;117
61;1;62
121;6;127
1691;38;1729
207;4;211
339;2;341
201;4;205
171;2;173
73;0;73
558;13;571
119;1;120
157;4;161
282;0;282
763;13;776
64;1;65
5786;73;5859
1484;26;1510
125;5;130
1771;42;1813
719;19;738
73;3;76
95;3;98
1267;51;1318
298;5;303
788;28;816
169;3;172
242;8;250
110;1;111
297;5;302
860;26;886
226;6;232
3662;62;3724
593;17;610
124;5;129
913;11;924
463;6;469
1128;36;1164
98;1;99
207;4;211
67;1;68
195;3;198
268;2;270
2865;70;2935
235;12;247
265;5;270
1801;33;1834
1221;34;1255
5188;116;5304
406;10;416
445;6;451
162;8;170
232;8;240
529;13;542
70;0;70
786;11;797
36;1;37
181;3;184
242;5;247
575;10;585
343;15;358
2236;243;2479
152;5;157
543;5;548
97;1;98
223;2;225
188;4;192
178;6;184
79;3;82
165;3;168
45;0;45
670;14;684
180;3;183
823;21;844
609;16;625
564;15;579
736;22;758
234;1;235
159;0;159
62;0;62
4266;103;4369
852;8;860
160;5;165
171;4;175
844;25;869
284;12;296
1795;18;1813
305;5;310
193;6;199
4795;150;4945
1479;21;1500
162;3;165
2152;37;2189
211;7;218
275;12;287
46;2;48
555;16;571
442;10;452
154;5;159
231;6;237
346;8;354
71;4;75
1339;36;1375
2555;37;2592
609;6;615
276;6;282
97;1;98
128;3;131
126;3;129
385;9;394
25806;559;26365
113;4;117
399;12;411
179;6;185
192;5;197
549;7;556
1472;43;1515
1570;49;1619
2180;42;2222
115;4;119
472;9;481
26;0;26
24;1;25
2129;71;2200
91;2;93
899;41;940
566;14;580
56;1;57
1342;62;1404
6853;336;7189
1047;36;1083
123;2;125
341;5;346
183;4;187
804;20;824
1259;29;1288
94;4;98
166;4;170
72;4;76
178;4;182
1544;32;1576
455;16;471
335;6;341
394;5;399
1619;38;1657
1497;41;1538
39;0;39
339;13;352
2149;58;2207
41;1;42
4423;104;4527
163;4;167
57;2;59
345;3;348
956;15;971
254;2;256
376;8;384
65;1;66
728;12;740
78;1;79
141;4;145
124;2;126
191;10;201
344;5;349
1526;29;1555
138;1;139
86;3;89
142;3;145
470;12;482
1396;39;1435
2127;42;2169
198;4;202
268;9;277
109;0;109
214;5;219
314;10;324
242;24;266
304;2;306
17542;898;18440
4124;74;4198
132;4;136
203;3;206
828;18;846
1982;42;2024
846;19;865
458;12;470
157;5;162
138;3;141
31;3;34
731;21;752
113;3;116
1441;14;1455
125;0;125
396;6;402
122;2;124
401;4;405
334;5;339
667;3;670
39;3;42
233;4;237
425;11;436
46;3;49
109;6;115
284;27;311
375;19;394
116;3;119
94;3;97
920;26;946
711;24;735
2157;26;2183
101;0;101
617;14;631
48;0;48
124;2;126
87;1;88
37;1;38
546;4;550
116;4;120
80;2;82
1035;27;1062
92;0;92
75;2;77
1130;23;1153
361;9;370
348;6;354
2408;52;2460
47;0;47
341;17;358
428;8;436
124;6;130
284;4;288
157;9;166
887;13;900
176;3;179
163;5;168
187;3;190
680;15;695
903;26;929
292;12;304
1455;41;1496
4922;73;4995
74;0;74
1308;27;1335
3231;69;3300
15;0;15
193;4;197
229;6;235
187;2;189
284;9;293
116;4;120
5726;143;5869
307;6;313
371;8;379
1764;30;1794
208;9;217
144;2;146
60;1;61
3829;41;3870
139;7;146
632;7;639
242;7;249
131;1;132
117;2;119
399;9;408
116;3;119
1098;25;1123
47;3;50
425;8;433
1528;24;1552
257;6;263
3020;42;3062
348;9;357
213;6;219
122;2;124
1019;16;1035
275;13;288
300;4;304
117;3;120
540;11;551
26;1;27
498;11;509
105;5;110
13;0;13
175;1;176
807;10;817
5748;101;5849
206;3;209
11272;169;11441
142;2;144
251;5;256
125;4;129
815;31;846
120;30;150
84;1;85
84;2;86
157;0;157
624;14;638
352;4;356
93;0;93
71;1;72
236;3;239
522;7;529
256;8;264
205;4;209
1664;83;1747
115;5;120
126;4;130
471;11;482
60;1;61
175;2;177
476;11;487
478;7;485
692;20;712
94;2;96
2793;54;2847
441;6;447
280;3;283
353;6;359
347;8;355
202;3;205
336;7;343
227;36;263
259;1;260
126;1;127
148;3;151
52;1;53
221;8;229
304;5;309
210;3;213
204;6;210
80;0;80
601;11;612
3148;85;3233
735;13;748
637;23;660
188;3;191
428;8;436
1985;37;2022
50;0;50
2546;77;2623
1791;50;1841
2495;77;2572
104;7;111
1370;28;1398
1337;35;1372
4063;97;4160
2580;42;2622
21;3;24
77;3;80
594;8;602
77;4;81
418;16;434
16;0;16
12;1;13
244;3;247
242;6;248
124;4;128
88;3;91
1105;19;1124
354;10;364
201;10;211
66;0;66
139;2;141
235;13;248
2;0;2
1029;27;1056
452;9;461
926;17;943
576;9;585
477;8;485
105;4;109
3984;85;4069
1324;33;1357
874;13;887
69;2;71
1427;26;1453
1599;26;1625
144;5;149
1654;47;1701
68;3;71
92;0;92
72;1;73
1250;37;1287
86;2;88
67;2;69
481;12;493
1544;22;1566
153;2;155
679;15;694
9957;145;10102
19792;566;20358
212;3;215
147;6;153
595;10;605
36;3;39
2325;95;2420
6814;179;6993
751;8;759
41;0;41
58;1;59
211;6;217
129;3;132
527;11;538
1084;33;1117
1292;20;1312
242;3;245
720;132;852
28;1;29
27;0;27
887;22;909
935;14;949
1500;38;1538
43;0;43
576;24;600
102;1;103
1831;580;2411
3945;147;4092
2724;52;2776
666;12;678
1316;45;1361
5934;136;6070
61;1;62
33;0;33
42;0;42
735;11;746
531;13;544
862;24;886
922;32;954
2061;37;2098
616;16;632
167;5;172
556;12;568
449;15;464
143;10;153
136;7;143
499;4;503
89;0;89
72;1;73
1157;22;1179
542;15;557
8680;274;8954
659;10;669
100;1;101
197;8;205
4718;240;4958
3239;136;3375
663;70;733
5921;102;6023
56;4;60
1510;22;1532
806;7;813
1103;41;1144
179;2;181
25;0;25
5520;127;5647
1387;33;1420
91;0;91
115;2;117
74;0;74
1026;22;1048
24;0;24
150;1;151
163;4;167
83;1;84
124;2;126
51;0;51
191;2;193
1115;34;1149
2392;57;2449
717;28;745
210;5;215
118;1;119
906;51;957
1961;51;2012
664;20;684
1577;44;1621
19;1;20
1894;57;1951
991;8;999
11;0;11
27;0;27
98;1;99
240;4;244
1221;18;1239
1057;43;1100
748;17;765
116;2;118
1232;17;1249
49;0;49
891;29;920
51;0;51
56;1;57
9202;152;9354
6616;94;6710
538;1;539
535;14;549
2182;42;2224
3207;97;3304
191;9;200
664;10;674
876;20;896
1116;32;1148
224;9;233
1301;42;1343
700;22;722
534;7;541
2732;56;2788
220;6;226
235;7;242
1550;35;1585
1170;30;1200
587;14;601
53;1;54
1064;24;1088
119;2;121
85;2;87
2400;60;2460
275;11;286
442;9;451
581;16;597
191;3;194
1796;140;1936
4271;118;4389
39818;1234;41052
28;0;28
75;1;76
48;6;54
332;11;343
281;6;287
143;5;148
85;0;85
2942;101;3043
696;18;714
1937;36;1973
24;0;24
1025;24;1049
1348;27;1375
1200;30;1230
681;15;696
75;0;75
416;22;438
795;15;810
193;3;196
3229;56;3285
473;8;481
6772;186;6958
71;2;73
39;0;39
523;6;529
267;8;275
699;21;720
368;6;374
27;0;27
40;0;40
95;1;96
2629;69;2698
592;8;600
242;9;251
873;17;890
13510;259;13769
214;4;218
240;2;242
206;4;210
147;3;150
132;2;134
17;0;17
968;39;1007
134;1;135
6;0;6
126;4;130
531;8;539
175;5;180
672;17;689
3573;49;3622
412;12;424
10680;151;10831
72;1;73
18;0;18
23;0;23
141;2;143
453;21;474
887;29;916
266;12;278
396;11;407
260;7;267
146;2;148
329;7;336
24;0;24
25;1;26
122;0;122
56;0;56
125;2;127
3395;64;3459
361;9;370
1023;20;1043
1;0;1
1640;46;1686
464;14;478
164;4;168
283;10;293
60;2;62
33098;680;33778
187;8;195
23;0;23
382;8;390
280;9;289
24;1;25
485;15;500
308;6;314
1364;21;1385
362;10;372
84;2;86
212;4;216
324;8;332
603;18;621
1858;30;1888
31;1;32
419;5;424
105;4;109
48;1;49
4248;90;4338
547;11;558
73;4;77
275;3;278
1083;22;1105
316;5;321
2809;66;2875
150;0;150
231;5;236
157;4;161
1419;50;1469
1289;46;1335
6289;128;6417
382;16;398
352;13;365
204;7;211
792;13;805
35;1;36
566;11;577
814;10;824
209;9;218
420;22;442
1829;48;1877
8736;436;9172
6758;66;6824
1443;47;1490
215;3;218
54;1;55
180;6;186
2254;44;2298
608;14;622
2062;20;2082
3960;152;4112
139;2;141
195;3;198
567;23;590
1844;30;1874
1823;58;1881
1487;42;1529
258;4;262
726;12;738
318;7;325
103;2;105
392;7;399
2155;55;2210
231;5;236
6106;206;6312
1650;28;1678
368;5;373
75;1;76
30;0;30
258;7;265
1032;18;1050
602;8;610
119;4;123
2012;40;2052
1519;43;1562
36;0;36
660;26;686
140;3;143
64749;1400;66149
38;0;38
326;8;334
585;11;596
692;20;712
464;6;470
58;1;59
138;5;143
47;2;49
39;1;40
245;8;253
15;0;15
17;1;18
107;1;108
1031;24;1055
33;0;33
908;10;918
550;10;560
904;12;916
568;7;575
327;9;336
464;8;472
1619;33;1652
425;8;433
1171;18;1189
148;3;151
1592;16;1608
566;11;577
170;7;177
1196;14;1210
447;16;463
486;11;497
848;23;871
1303;31;1334
8070;140;8210
1363;37;1400
992;11;1003
163;7;170
1676;43;1719
340;9;349
5350;109;5459
708;20;728
956;19;975
432;9;441
286;7;293
336;4;340
1101;39;1140
1390;31;1421
306;7;313
632;9;641
102;1;103
550;21;571
1178;22;1200
279;6;285
517;36;553
448;5;453
78;0;78
676;21;697
820;37;857
772;12;784
149;1;150
330;8;338
187;3;190
4554;118;4672
641;15;656
2794;38;2832
396;3;399
219;5;224
582;8;590
331;6;337
9848;311;10159
285;6;291
1769;43;1812
306;3;309
327;5;332
1567;47;1614
255;1;256
676;9;685
4666;58;4724
328;6;334
1549;28;1577
174;2;176
695;16;711
1726;35;1761
215;2;217
748;22;770
1214;18;1232
277;8;285
340;4;344
493;9;502
856;10;866
266;11;277
362;5;367
183;7;190
2075;49;2124
261;4;265
1517;22;1539
1009;17;1026
3649;65;3714
737;5;742
126;1;127
665;11;676
346;11;357
661;12;673
83;3;86
798;10;808
1185;24;1209
523;10;533
1033;22;1055
3942;73;4015
702;10;712
3957;79;4036
478;5;483
1324;25;1349
1204;33;1237
398;7;405
627;8;635
202;5;207
4331;125;4456
139;2;141
1216;23;1239
338;7;345
4199;152;4351
1024;20;1044
646;10;656
1615;29;1644
404;5;409
491;12;503
214;1;215
660;10;670
1134;22;1156
699;22;721
594;15;609
419;11;430
860;24;884
1062;10;1072
215;0;215
459;11;470
276;4;280
201;5;206
396;10;406
172;6;178
412;11;423
63;0;63
281;7;288
278;5;283
375;5;380
688;11;699
408;10;418
113;3;116
1734;22;1756
556;9;565
367;6;373
598;16;614
107;2;109
472;17;489
1326;20;1346
768;28;796
1083;21;1104
243;5;248
207;1;208
819;8;827
4995;65;5060
657;6;663
180;7;187
1010;12;1022
1193;21;1214
385;10;395
122;3;125
1370;26;1396
218;5;223
549;13;562
716;16;732
2098;38;2136
603;12;615
157;3;160
2308;43;2351
124;3;127
594;6;600
330;6;336
1489;14;1503
432;7;439
207;4;211
2500;64;2564
608;11;619
1377;16;1393
250;2;252
1371;8;1379
6126;254;6380
571;12;583
149;7;156
235;6;241
464;8;472
478;17;495
284;7;291
452;4;456
451;3;454
591;7;598
151;2;153
601;11;612
474;12;486
109;2;111
5952;136;6088
816;14;830
391;10;401
493;25;518
556;9;565
1580;23;1603
549;7;556
349;8;357
198;4;202
460;10;470
3730;82;3812
665;11;676
300;3;303
46349;1225;47574
3702;55;3757
447;7;454
344;7;351
727;11;738
348;6;354
171;3;174
166;2;168
1162;29;1191
419;7;426
221;4;225
175;5;180
1017;14;1031
739;10;749
259;8;267
1834;19;1853
324;3;327
197;3;200
1155;21;1176
549;8;557
328;7;335
846;23;869
624;9;633
522;7;529
90;4;94
663;8;671
448;12;460
1244;13;1257
317;2;319
350;4;354
194;3;197
329;13;342
381;7;388
6860;98;6958
285;8;293
737;15;752
1945;38;1983
3058;52;3110
837;7;844
226;8;234
606;13;619
11696;166;11862
494;13;507
409;5;414
865;17;882
599;14;613
168;3;171
1256;16;1272
126;11;137
991;16;1007
478;15;493
315;6;321
3994;81;4075
527;4;531
1334;28;1362
1305;13;1318
166;4;170
2954;60;3014
466;7;473
504;7;511
426;8;434
1086;5;1091
273;13;286
609;5;614
269;8;277
1278;27;1305
458;10;468
259;3;262
307;5;312
304;0;304
134;5;139
1392;19;1411
281;3;284
617;14;631
187;3;190
318;13;331
212;8;220
771;22;793
133;4;137
456;10;466
782;12;794
718;7;725
109;1;110
1077;32;1109
431;4;435
356;6;362
674;8;682
790;15;805
710;8;718
67;3;70
202;6;208
1280;55;1335
209;2;211
234;4;238
785;26;811
1756;20;1776
867;13;880
999;17;1016
1423;24;1447
470;8;478
426;4;430
2665;30;2695
591;13;604
226;1;227
329;7;336
386;5;391
221;7;228
195;3;198
2028;38;2066
207;3;210
1487;15;1502
335;9;344
79;2;81
329;9;338
159;1;160
682;5;687
118;2;120
530;14;544
18518;403;18921
223;5;228
712;6;718
1143;24;1167
444;8;452
265;4;269
162;0;162
319;9;328
376;11;387
498;11;509
1497;41;1538
1329;7;1336
487;9;496
462;17;479
1121;16;1137
1599;21;1620
150;4;154
503;2;505
492;11;503
88;1;89
467;9;476
1737;42;1779
1476;105;1581
52;1;53
342;4;346
177;3;180
236;12;248
91;1;92
102;5;107
889;24;913
325;9;334
603;19;622
643;7;650
232;2;234
1491;35;1526
777;12;789
843;10;853
369;7;376
669;12;681
105;0;105
760;17;777
164;7;171
640;13;653
876;22;898
772;18;790
326;8;334
2406;46;2452
1318;7;1325
420;8;428
4241;221;4462
183;0;183
343;3;346
578;6;584
697;7;704
191;2;193
55;0;55
285;3;288
440;6;446
340;6;346
2275;40;2315
1133;37;1170
659;22;681
74;1;75
198;7;205
230;2;232
253;4;257
479;3;482
898;56;954
5056;127;5183
292;6;298
1802;20;1822
465;7;472
165;3;168
760;18;778
696;12;708
2648;27;2675
73;2;75
205;5;210
161;1;162
721;8;729
911;19;930
402;13;415
336;5;341
9982;272;10254
602;8;610
4146;58;4204
1134;22;1156
205;7;212
276;3;279
909;26;935
1158;22;1180
164;1;165
388;8;396
697;26;723
949;25;974
652;7;659
403;54;457
169;4;173
435;6;441
833;8;841
654;18;672
662;2;664
194;4;198
521;13;534
267;4;271
317;10;327
3288;52;3340
237;2;239
516;6;522
1045;17;1062
367;4;371
1679;56;1735
259;6;265
2214;28;2242
1288;38;1326
165;1;166
4031;66;4097
198;2;200
721;11;732
336;7;343
380;2;382
1412;34;1446
2093;47;2140
749;13;762
142;1;143
138;6;144
436;4;440
868;6;874
298;18;316
205;7;212
3681;82;3763
435;9;444
82;3;85
206;4;210
494;20;514
886;10;896
438;9;447
538;15;553
876;14;890
547;9;556
385;13;398
670;15;685
220;6;226
887;15;902
887;11;898
204;5;209
123;5;128
168;2;170
871;21;892
1174;25;1199
307;7;314
249;5;254
422;2;424
3338;105;3443
246;5;251
65;0;65
464;6;470
179;6;185
251;12;263
652;11;663
4425;136;4561
825;23;848
333;6;339
681;9;690
280;6;286
495;8;503
245;10;255
100;2;102
336;10;346
289;4;293
650;15;665
435;11;446
596;16;612
99;2;101
2426;31;2457
1696;16;1712
282;9;291
173;1;174
789;6;795
968;32;1000
236;3;239
595;12;607
246;3;249
1614;22;1636
276;1;277
1012;13;1025
585;1;586
1249;26;1275
911;10;921
433;10;443
