PMUN;PCAP;PTOT
163;3;166
149;0;149
333;9;342
434;8;442
110;0;110
750;15;765
257;5;262
1015;25;1040
1006;11;1017
34;1;35
92;3;95
1148;21;1169
207;10;217
95;1;96
1298;59;1357
464;9;473
5686;78;5764
197;3;200
256;2;258
379;14;393
221;5;226
138;0;138
192;5;197
191;6;197
1339;16;1355
99;4;103
196;2;198
810;12;822
107;4;111
159;4;163
475;10;485
2235;25;2260
721;11;732
553;13;566
1563;37;1600
190;6;196
147;1;148
68;0;68
129;2;131
327;6;333
196;6;202
240;4;244
54;1;55
301;5;306
651;10;661
193;11;204
455;5;460
192;5;197
1475;47;1522
18;0;18
194;7;201
1861;42;1903
194;3;197
404;9;413
862;18;880
1157;17;1174
128;3;131
160;0;160
200;3;203
442;5;447
456;7;463
1778;79;1857
253;5;258
185;6;191
144;3;147
545;10;555
94;1;95
255;2;257
62;2;64
63;0;63
116;3;119
89;0;89
764;20;784
365;7;372
166;5;171
257;1;258
836;23;859
273;2;275
295;2;297
544;12;556
291;8;299
2585;42;2627
325;7;332
1654;26;1680
356;9;365
890;14;904
15254;362;15616
84;0;84
125;0;125
88;1;89
252;9;261
11653;419;12072
829;16;845
161;4;165
206;3;209
139;2;141
106;2;108
385;8;393
721;14;735
79;1;80
117;3;120
185;1;186
351;5;356
390;15;405
1351;45;1396
1134;15;1149
147;4;151
350;8;358
518;12;530
523;5;528
371;7;378
65;1;66
186;8;194
910;25;935
311;7;318
535;102;637
228;2;230
601;8;609
106;1;107
441;6;447
1282;20;1302
65;2;67
229;3;232
76;3;79
216;3;219
267;6;273
708;11;719
364;6;370
294;3;297
708;11;719
343;2;345
61;1;62
841;6;847
294;4;298
992;9;1001
628;12;640
200;72;272
436;15;451
152;4;156
32;0;32
301;12;313
346;4;350
84;2;86
1863;30;1893
120;1;121
339;6;345
71;0;71
186;6;192
941;9;950
362;10;372
145;8;153
83;1;84
115;3;118
330;3;333
1502;16;1518
1816;31;1847
1244;85;1329
218;3;221
96;3;99
641;11;652
2923;47;2970
63;3;66
1805;35;1840
611;4;615
156;3;159
100;0;100
73;4;77
27;1;28
71;2;73
358;3;361
129;5;134
153;2;155
129;3;132
437;13;450
370;13;383
392;15;407
650;11;661
391;9;400
211;3;214
112;0;112
730;16;746
99;2;101
46;2;48
292;10;302
647;13;660
155;6;161
164;3;167
130;2;132
78;2;80
207;0;207
195;6;201
319;6;325
117;5;122
342;7;349
28;5;33
553;25;578
409;12;421
256;11;267
427;8;435
287;8;295
102;1;103
867;11;878
1048;27;1075
347;8;355
411;11;422
2745;73;2818
410;8;418
1305;28;1333
553;10;563
207;8;215
853;7;860
